name,categories,address,lat,lng,price,likes,photos,tips,rating,cuisine_similarity,budget_match,rating_match,like_probability
ريوف الشام,bakery,المملكة العربية السعودية,24.80215245234182,46.62016463670388,Cheap,3.0,2,0,,0.0,1,0,0.5449488073458703
Vegetarian,vegetarian / vegan restaurant,المملكة العربية السعودية,24.799242,46.621365,Moderate,0.0,0,0,,0.0,0,0,0.16572613385048973
COLTURA del caffè (كلتورا ديل كافيه),coffee shop,"الرياض 13521, المملكة العربية السعودية",24.796662,46.62584,Cheap,0.0,11,0,,1.0,1,0,0.9003158999383325
Pizaa Hot,american restaurant,"King Fahad Road Aqeeq, الرياض, المملكة العربية السعودية",24.797472391061483,46.62181806617807,Moderate,0.0,0,0,,0.0,0,0,0.16572613385048973
SEEMO,food truck,"Anas Bin Malek Road, الرياض, المملكة العربية السعودية",24.79598602395007,46.614159050951926,Cheap,5.0,18,1,,0.0,1,0,0.5449488073458703
Let Summer Begin,ice cream shop,"الرياض 13521, المملكة العربية السعودية",24.799258,46.61278,Cheap,0.0,0,0,,0.20578743939512187,1,0,0.6447559206069757
ALMATHAQ alalath (fastfood)المذاق الألذ للوجبات السريعة,fast food restaurant,"حي الملقا (عبدالله بن شويهين) (الامام سعود بن فيصل), الرياض, المملكة العربية السعودية",24.789995,46.620463,Cheap,0.0,4,0,,0.0,1,0,0.5449488073458703
Veloce Cafe (فيلوتشي),café  coffee shop,"Al Malga (King Fahd Branch Rd,), الرياض 13521, المملكة العربية السعودية",24.80005010910304,46.627402668210586,Cheap,372.0,1324,64,8.4,0.7793832838301591,1,1,0.945095103352048
Dunkin' Donuts (دانكن دونتس),donut shop,"Al-malqa (Qassim highway), الرياض 13321, المملكة العربية السعودية",24.799969517763444,46.62720814253407,Cheap,462.0,364,44,8.8,0.27072508730579614,1,1,0.8603212490675765
Burgerizzr (برغرايززر),burger joint,"طريق الملك فهد, الرياض, المملكة العربية السعودية",24.80005066566964,46.627331229939365,Cheap,46.0,36,9,7.3,0.0,1,1,0.7809091203153626
Mugs Coffe,coffee shop,"الرياض 13321, المملكة العربية السعودية",24.800741,46.62823,Cheap,4.0,23,4,,1.0,1,0,0.9003158999383325
Carmey (كارميه),dessert shop,"أنس بن مالك, الرياض, المملكة العربية السعودية",24.79880133005981,46.62855011588229,Cheap,3.0,0,0,,0.31805456601993665,1,0,0.6948510936216132
كوفي تي تي,café,"الرياض 13321, المملكة العربية السعودية",24.79463,46.6317,Cheap,0.0,3,0,,0.0,1,0,0.5449488073458703
McDonald's (ماكدونالدز),fast food restaurant,"Sahafa, الرياض, المملكة العربية السعودية",24.80121598357481,46.62421116095394,Cheap,5.0,4,1,,0.0,1,0,0.5449488073458703
Pizza Hut (بيتزا هت),pizza place,"الرياض, المملكة العربية السعودية",24.796154239468702,46.62905227811128,Cheap,23.0,18,4,7.6,0.0,1,1,0.7809091203153626
يدور حبيبه,afghan restaurant,"الرياض 13521, المملكة العربية السعودية",24.796068,46.629382,Moderate,0.0,2,0,,0.0,0,0,0.16572613385048973
OPERA PASTRY (حلويات اوبرا),dessert shop,"Malqa, المملكة العربية السعودية",24.79375118650093,46.62976690694849,Cheap,36.0,10,7,6.8,0.31805456601993665,1,0,0.6948510936216132
North Cafe,coffee shop,"الرياض 13521, المملكة العربية السعودية",24.796563,46.628712,Cheap,0.0,0,0,,1.0,1,0,0.9003158999383325
Pizza T (بيتزا تي),pizza place,"4039 Muhammad Ibn Abdulaziz Ad Daghaythir (محمد الدغيثر), الرياض 13521, المملكة العربية السعودية",24.800378214122123,46.62499830355453,Cheap,70.0,16,25,7.0,0.0,1,1,0.7809091203153626
وجهة الشاي للقهوة,coffee shop,المملكة العربية السعودية,24.800894,46.625584,Cheap,1.0,4,0,,1.0,1,0,0.9003158999383325
شركة عبدالله الجربوع وابنائه,dutch restaurant,"الرياض 13521, المملكة العربية السعودية",24.795251,46.626718,Unknown,0.0,0,0,,0.0,0,0,0.16572613385048973
Shawarmeria شاورمريا,shawarma place,"الرياض 13521, المملكة العربية السعودية",24.796516,46.628928,Unknown,6.0,11,0,,0.0,0,0,0.16572613385048973
Alliwon الليوان,fried chicken joint,"Riyadh, King Fahd Street, الرياض 13521, المملكة العربية السعودية",24.795647,46.629304,Cheap,0.0,1,0,,0.0,1,0,0.5449488073458703
رغيف و جبنة,bakery  breakfast spot,"الرياض 13315, المملكة العربية السعودية",24.79545736101064,46.63462898694157,Cheap,17.0,24,4,6.3,0.0,1,0,0.5449488073458703
Domino's Pizza,pizza place,"King Fahd Branch Rd, As Sahafah, الرياض 13315, المملكة العربية السعودية",24.790395,46.632972,Cheap,3.0,7,1,7.4,0.0,1,1,0.7809091203153626
Al-Sahafa Plaza (الصحافة بلازا),plaza  restaurant  market,"طريق الامام سعود بن فيصل - حي الصحافة (بالقرب من برج رافال .), الرياض 13315, المملكة العربية السعودية",24.79786914401505,46.64155424289998,Unknown,21.0,28,1,8.1,0.0,0,1,0.3715589095019695
Slider House By Wagyu (سلايدر هاوس),burger joint,"Imam Saud Bin Faisal Rd. (Al Imam Saud Ibn Faysal Rd, Riyadh 13315), الرياض 13315, المملكة العربية السعودية",24.798081788914565,46.6417436526601,Cheap,904.0,3293,262,8.6,0.0,1,1,0.7809091203153626
